city_id,date,disaster_type,city,province,cause,death,missing_person,injured_person,damaged_house,flooded_house,damaged_facility
3205,2021-03-31,BANJIR,GARUT,JAWA BARAT,• Hujan dengan intensitas tinggi sehingga mengakibatkan luapan air dan terjadilah banjir,0.0,0.0,0.0,0.0,61.0,0
3209,2021-03-31,BANJIR,CIREBON,JAWA BARAT,• Akibat hujan dengan intensitas sedang - tinggi dan meluapnya sungai cikalong,0.0,0.0,0.0,0.0,80.0,0
3209,2021-03-31,BANJIR,CIREBON,JAWA BARAT,• Hujan dengan intensitas cukup deras dengan durasi lama Menyebabkan Sungai Cikalong dan Sungai Kalijaga meluap,0.0,0.0,0.0,0.0,320.0,0
3204,2021-04-01,BANJIR,BANDUNG,JAWA BARAT,• Hujan sedang Hingga Deras di wilayah kertasari dari pukul 13.00 Wib.,0.0,0.0,0.0,0.0,30.0,0
3204,2021-04-01,BANJIR,BANDUNG,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,58.0,0.0,0
3217,2021-04-11,BANJIR,BANDUNG BARAT,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,1.0,0.0,0
3204,2021-04-13,BANJIR,BANDUNG,JAWA BARAT,• Akibat buruknya drainase dan curah hujan yang tinggi menyebabkan luapan sungai dan menggenangi rumah warga,0.0,0.0,0.0,0.0,15.0,0
3204,2021-04-14,BANJIR,BANDUNG,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,0.0,56.0,0
3207,2021-04-14,BANJIR,CIAMIS,JAWA BARAT,• Hujan dengan intensitas tinggi yang mengakibatkan air sungai Ciseel meluap,0.0,0.0,0.0,49.0,0.0,0
3204,2021-04-14,BANJIR,BANDUNG,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,0.0,2.0,0
3202,2021-04-15,BANJIR,SUKABUMI,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,2.0,0.0,0
3204,2021-04-15,BANJIR,BANDUNG,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,0.0,4.0,0
3205,2021-04-15,BANJIR,GARUT,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,0.0,54.0,0
3201,2021-04-16,BANJIR,BOGOR,JAWA BARAT,"• Akibat intensitas hujan yang tinggi mengakibatkan meluapnya air kali jantung dan penyempitan gorong gorong di Kp.bedahan, sehingga air meluap ke permukiman warga dengan ketinggian 20 CM.",0.0,0.0,0.0,0.0,240.0,0
3201,2021-04-17,BANJIR,BOGOR,JAWA BARAT,• Akibat hujan dengan intensitas tinggi dan pendangkalan aliran Drainase sehingga mengakibatkan banjir setinggi ± 80 Cm.,0.0,0.0,0.0,0.0,203.0,0
3201,2021-04-17,BANJIR,BOGOR,JAWA BARAT,• Akibat hujan dengan intensitas tinggi,0.0,0.0,0.0,0.0,63.0,0
3201,2021-04-19,BANJIR,BOGOR,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,0.0,240.0,0
3201,2021-04-27,BANJIR,BOGOR,JAWA BARAT,• Akibat hujan dengan intensitas tinggi yang berangsur lama disertai meluapnya aliran kali Cibodas,0.0,0.0,0.0,0.0,44.0,0
3201,2021-04-27,BANJIR,BOGOR,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,2.0,0.0,0
3202,2021-04-27,BANJIR,SUKABUMI,JAWA BARAT,• Akibat meluapnya Sungai Cicatih,0.0,0.0,0.0,0.0,40.0,0
3201,2021-04-27,BANJIR,BOGOR,JAWA BARAT,hujan dengan intensitas tinggi,0.0,0.0,0.0,0.0,44.0,0
3203,2021-04-27,BANJIR,CIANJUR,JAWA BARAT,• Hujan deras berlangsung lama mengakibatkan urugan tanah dari proyek pembangunan PT.QL sehingga menyumbat aliran sungai dan meluap ke pemukiman,0.0,0.0,0.0,0.0,25.0,0
3201,2021-04-28,BANJIR,BOGOR,JAWA BARAT,hujan dengan intensitas cukup tinggi,0.0,0.0,0.0,1.0,1.0,0
3201,2021-04-30,BANJIR,BOGOR,JAWA BARAT,"Akibat hujan dengan intensitas tinggi yang berangsur lama pada hari Jumat, 30 April 2021 Pkl. 15.00 WIB",0.0,0.0,0.0,2.0,0.0,0
3201,2021-05-06,BANJIR,BOGOR,JAWA BARAT,• Akibat hujan dengan intensitas tinggi pada pukul 16.30 Wib mengakibatkan air sungai Cibeber meluap ke pemukiman warga.,0.0,0.0,0.0,0.0,120.0,0
3275,2021-05-06,BANJIR,KOTA BEKASI,JAWA BARAT,"Terjadi hujan dengan intensitas ringan hingga lebat yang mengguyur di Kota Bekasi pada Kamis, 06 Mei 2021 Pkl. 21:00 WIB",0.0,0.0,0.0,0.0,0.0,0
3201,2021-05-06,BANJIR,BOGOR,JAWA BARAT,"Akibat hujan dengan intensitas tinggi dan meluapnya Kali Cileungsi pada hari Kamis, 06 Mei 2021 Pkl. 21:35 WIB",0.0,0.0,0.0,0.0,2352.0,0
3201,2021-05-08,BANJIR,BOGOR,JAWA BARAT,"• Akibat hujan deras dengan intensitas tinggi yang cukup lama, sehingga mengakibatkan aliran kali pasanggrahan serta kali Cirawakalong meluap",0.0,0.0,0.0,0.0,125.0,0
3271,2021-05-08,BANJIR,KOTA BOGOR,JAWA BARAT,• Akibat curah hujan dengan intensitas tinggi yang mengguyur wilayah tersebut dan sempitnya saluran air/drainase,0.0,0.0,0.0,0.0,1.0,0
3271,2021-05-08,BANJIR,KOTA BOGOR,JAWA BARAT,• Akibat curah hujan dengan intensitas tinggi yang mengguyur diwilayah tersebut sehingga Air Kali Cibungur menjadi meluap.,0.0,0.0,0.0,0.0,50.0,0
3201,2021-05-16,BANJIR,BOGOR,JAWA BARAT,"• Akibat hujan dengan intesitas tinggi disertai penyempitan kali pesanggrahan dan melupanya kali Cibuluh, Kali Ciluar",0.0,0.0,0.0,0.0,288.0,0
3201,2021-05-16,BANJIR,BOGOR,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,0.0,63.0,0
3271,2021-05-16,BANJIR,KOTA BOGOR,JAWA BARAT,hujan dengan intensitas tinggi,0.0,0.0,0.0,9.0,264.0,0
3201,2021-05-17,BANJIR,BOGOR,JAWA BARAT,"• Akibat aliran air Kali Cidangder dan Kali Citampuan meluap, sehingga membanjiri pemukiman warga",0.0,0.0,0.0,16.0,235.0,1
3201,2021-05-19,BANJIR,BOGOR,JAWA BARAT,"• Akibat hujan dengan intensitas yang cukup tinggi dengan waktu yang lama, sehingga mengakibatkan aliran kali Cibinong meluap",0.0,0.0,0.0,0.0,12.0,0
3201,2021-05-19,BANJIR,BOGOR,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,1.0,0.0,0
3201,2021-05-19,BANJIR,BOGOR,JAWA BARAT,• Akibat hujan dengan intensitas tinggi yang cukup lama dan tidak berfungsinya pintu air di bendungan kali Ciapus mengakibatkan aliran air sungai meluap,0.0,0.0,0.0,18.0,151.0,0
3201,2021-05-20,BANJIR,BOGOR,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,1.0,7.0,0
3201,2021-05-20,BANJIR,BOGOR,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,0.0,8.0,0
3201,2021-05-21,BANJIR,BOGOR,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,3.0,0.0,0
3204,2021-05-25,BANJIR,BANDUNG,JAWA BARAT,hujan dengan intensitas tinggi dan durasi yang cukup lama,0.0,0.0,0.0,0.0,8742.0,0
3277,2021-05-25,BANJIR,KOTA CIMAHI,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,0.0,29.0,1
3215,2021-05-25,BANJIR,KARAWANG,JAWA BARAT,• Hujan dengan intensitas tinggi,0.0,0.0,0.0,0.0,15.0,0
3215,2021-05-26,BANJIR,KARAWANG,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,0.0,30.0,0
3215,2021-05-28,BANJIR,KARAWANG,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,0.0,160.0,0
3275,2021-05-29,BANJIR,KOTA BEKASI,JAWA BARAT,• Hujan dengan intensitas tinggi dan sistem drainase yang tidak menampung volume air hujan,0.0,0.0,0.0,0.0,2500.0,0
3202,2021-06-01,BANJIR,SUKABUMI,JAWA BARAT,• Hujan deras di sertai angin dan petir. lama yang menyebabkan sungai slokan cikupa meluap,0.0,0.0,4.0,3.0,10.0,0
3207,2021-06-01,BANJIR,CIAMIS,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,1.0,0.0,0
3205,2021-06-02,BANJIR,GARUT,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,0.0,4.0,1
3204,2021-06-03,BANJIR,BANDUNG,JAWA BARAT,• Hujan dengan intensitas tinggi disertai dengan jebolnya tanggul sungai Cisunggahlah,0.0,0.0,2.0,49.0,500.0,0
3206,2021-06-03,BANJIR,TASIKMALAYA,JAWA BARAT,• Akibat hujan dengan intensitas tinggi yang berangsur lama sejak sore hari hingga malam hari,0.0,0.0,0.0,0.0,12.0,0
3205,2021-06-03,BANJIR,GARUT,JAWA BARAT,• Akibat hujan dengan intensitas tinggi yang berangsur lama disertai saluran air yang terlalu sempit sehingga gorong-gorong di hilir tidak mampu menampung air dan terjadi luapan,0.0,0.0,0.0,0.0,8.0,0
3204,2021-06-08,BANJIR,BANDUNG,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,0.0,3.0,0
3204,2021-06-11,BANJIR,BANDUNG,JAWA BARAT,"• Akibat hujan dengan intensitas tinggi di daerah hulu, sehingga mengakibatkan air yang mengairi sungai Cisunggahlah mengalami peningkatan dan menyebabkan tanggul sementara jebol kembali",0.0,0.0,0.0,34.0,500.0,0
3275,2021-06-15,BANJIR,KOTA BEKASI,JAWA BARAT,• Akibat hujan dengan intensitas tinggi dengan durasi yang cukup lama,0.0,0.0,0.0,0.0,0.0,0
3204,2021-06-17,BANJIR,BANDUNG,JAWA BARAT,Hujan dengan intensitas tinggi di hulu sungai Cibiru Hawu mengakibatkan debit air dialiran sungai tersebut meluap dan tanggul sungai jebol,0.0,0.0,0.0,8.0,22.0,0
3204,2021-06-19,BANJIR,BANDUNG,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,0.0,118.0,0
3204,2021-06-20,BANJIR,BANDUNG,JAWA BARAT,• Akibat Hujan dengan Intensitas Ringan Hingga Deras Sehingga Aliran Anak Sungai yang Mengairi Citarum Meluap,0.0,0.0,0.0,0.0,8601.0,0
3201,2021-06-20,BANJIR,BOGOR,JAWA BARAT,• Akibat Hujan dengan Intensitas Ringan Hingga Deras hingga terjadi banjir,0.0,0.0,0.0,0.0,25.0,0
3201,2021-06-24,BANJIR,BOGOR,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,3.0,0.0,0
3218,2021-07-21,BANJIR,PANGANDARAN,JAWA BARAT,hujan dengan intensitas tinggi disertai angin kencang,0.0,0.0,0.0,0.0,15.0,0
3201,2021-07-31,BANJIR,BOGOR,JAWA BARAT,Hujan deras dan pendangkalan kali menyebabkan aliran Sungai kumpa meluap dan berdampak pada rumah warga di bantaran kali dengan ketinggian ± 1 meter,0.0,0.0,0.0,0.0,6.0,0
3201,2021-08-01,BANJIR,BOGOR,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,0.0,15.0,0
3201,2021-08-01,BANJIR,BOGOR,JAWA BARAT,● Akibat hujan dengan intensitas deras mengakibatkan tebingan setinggi 4 meter Longsor,0.0,0.0,0.0,1.0,0.0,0
3201,2021-08-01,BANJIR,BOGOR,JAWA BARAT,"● Akibat hujan deras yang cukup lama pada hari Minggu, 01 Agustus 2021, pkl. 15:30 WIB sehingga menyebabkan melimpahnya air pada aliran anak sungai kalibaru yang mengakibatkan luapan air ke pemukiman serta akses jalan Desa dengan TMA 20 cm s.d 130 cm",0.0,0.0,0.0,0.0,54.0,0
3201,2021-08-01,BANJIR,BOGOR,JAWA BARAT,"● Akibat hujan deras yang cukup lama pada hari Minggu, 01 Agustus 2021, pkl. 15:30 WIB sehingga menyebabkan melimpahnya air pada aliran anak sungai kalibaru yang mengakibatkan luapan air ke pemukiman serta akses jalan Desa dengan TMA 20 cm s.d 50 cm",0.0,0.0,0.0,0.0,54.0,0
3201,2021-08-09,BANJIR,BOGOR,JAWA BARAT,Akibat hujan dengan intensitas tinggi dan berangsur lama sehingga mengakibatkan meluapnya aliran kali Manceri,0.0,0.0,0.0,1.0,56.0,3
